"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-01",100.3788,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-02",100.4501,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-03",100.5953,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-04",100.6239,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-05",100.6033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-06",100.7115,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-07",100.8705,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-08",100.9903,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-09",101.0808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-10",101.2026,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-11",101.3062,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1996-12",101.3214,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-01",101.3719,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-02",101.4894,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-03",101.6218,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-04",101.786,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-05",101.9715,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-06",102.1406,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-07",102.2544,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-08",102.257,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-09",102.2679,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-10",102.261,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-11",102.2427,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1997-12",102.2111,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-01",102.3632,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-02",102.5259,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-03",102.5334,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-04",102.512,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-05",102.4134,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-06",102.2948,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-07",102.1591,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-08",101.9674,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-09",101.7277,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-10",101.5921,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-11",101.6852,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1998-12",101.8276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-01",102.0663,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-02",102.2738,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-03",102.3089,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-04",102.3041,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-05",102.3476,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-06",102.3586,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-07",102.3033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-08",102.242,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-09",102.2317,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-10",102.2112,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-11",102.3287,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.4917,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.7204,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.7728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.6926,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.6742,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.6491,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.5511,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.5179,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.4834,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.4339,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-10",102.3259,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.0756,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.5502,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.0296,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-02",100.6491,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.4849,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.452,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.5743,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.653,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.5674,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.2673,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-09",99.83488,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-10",99.67899,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-11",99.82603,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.1819,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.526,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.7321,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.9185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.971,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.9451,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.6955,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.3614,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.0861,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.84526,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.66342,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.67841,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.67588,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.49805,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.34033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.42319,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.85572,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-05",100.2822,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-06",100.4377,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-07",100.44,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-08",100.3509,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.3156,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.4634,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.7547,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2003-12",101.0569,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-01",101.3354,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2004-02",101.2221,
